Tabelle: 12411-0014
Bevölkerung: Bundesländer, Stichtag, Nationalität,;;;;;;;;;;;
Geschlecht, Altersjahre;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2000;Bremen;unter 1 Jahr;2706;2558;5264;354;343;697;3060;2901;5961
31.12.2000;Bremen;1-Jährige;2432;2374;4806;546;533;1079;2978;2907;5885
31.12.2000;Bremen;2-Jährige;2548;2384;4932;559;536;1095;3107;2920;6027
31.12.2000;Bremen;3-Jährige;2595;2402;4997;609;582;1191;3204;2984;6188
31.12.2000;Bremen;4-Jährige;2601;2353;4954;595;537;1132;3196;2890;6086
31.12.2000;Bremen;5-Jährige;2511;2397;4908;534;538;1072;3045;2935;5980
31.12.2000;Bremen;6-Jährige;2503;2357;4860;478;494;972;2981;2851;5832
31.12.2000;Bremen;7-Jährige;2557;2384;4941;524;500;1024;3081;2884;5965
31.12.2000;Bremen;8-Jährige;2701;2475;5176;519;526;1045;3220;3001;6221
31.12.2000;Bremen;9-Jährige;2690;2555;5245;561;480;1041;3251;3035;6286
31.12.2000;Bremen;10-Jährige;2770;2585;5355;569;477;1046;3339;3062;6401
31.12.2000;Bremen;11-Jährige;2708;2736;5444;513;445;958;3221;3181;6402
31.12.2000;Bremen;12-Jährige;2779;2580;5359;521;509;1030;3300;3089;6389
31.12.2000;Bremen;13-Jährige;2618;2645;5263;550;540;1090;3168;3185;6353
31.12.2000;Bremen;14-Jährige;2599;2488;5087;580;498;1078;3179;2986;6165
31.12.2000;Bremen;15-Jährige;2564;2329;4893;523;530;1053;3087;2859;5946
31.12.2000;Bremen;16-Jährige;2453;2513;4966;521;479;1000;2974;2992;5966
31.12.2000;Bremen;17-Jährige;2728;2712;5440;577;512;1089;3305;3224;6529
31.12.2000;Bremen;18-Jährige;2797;2949;5746;561;521;1082;3358;3470;6828
31.12.2000;Bremen;19-Jährige;2853;3006;5859;605;565;1170;3458;3571;7029
31.12.2000;Bremen;20-Jährige;2970;2996;5966;650;669;1319;3620;3665;7285
31.12.2000;Bremen;21-Jährige;2808;3011;5819;692;689;1381;3500;3700;7200
31.12.2000;Bremen;22-Jährige;2879;3067;5946;727;714;1441;3606;3781;7387
31.12.2000;Bremen;23-Jährige;3018;2976;5994;694;813;1507;3712;3789;7501
31.12.2000;Bremen;24-Jährige;3036;3090;6126;850;849;1699;3886;3939;7825
31.12.2000;Bremen;25-Jährige;2949;2976;5925;910;894;1804;3859;3870;7729
31.12.2000;Bremen;26-Jährige;2995;3041;6036;1040;829;1869;4035;3870;7905
31.12.2000;Bremen;27-Jährige;3156;3170;6326;974;863;1837;4130;4033;8163
31.12.2000;Bremen;28-Jährige;3455;3496;6951;1013;921;1934;4468;4417;8885
31.12.2000;Bremen;29-Jährige;3916;3771;7687;951;900;1851;4867;4671;9538
31.12.2000;Bremen;30-Jährige;4188;3862;8050;1088;867;1955;5276;4729;10005
31.12.2000;Bremen;31-Jährige;4668;4224;8892;902;832;1734;5570;5056;10626
31.12.2000;Bremen;32-Jährige;4941;4615;9556;992;753;1745;5933;5368;11301
31.12.2000;Bremen;33-Jährige;5245;4586;9831;842;698;1540;6087;5284;11371
31.12.2000;Bremen;34-Jährige;5332;4576;9908;983;704;1687;6315;5280;11595
31.12.2000;Bremen;35-Jährige;4977;4630;9607;1007;776;1783;5984;5406;11390
31.12.2000;Bremen;36-Jährige;4952;4510;9462;953;652;1605;5905;5162;11067
31.12.2000;Bremen;37-Jährige;4563;4491;9054;870;667;1537;5433;5158;10591
31.12.2000;Bremen;38-Jährige;4641;4592;9233;806;637;1443;5447;5229;10676
31.12.2000;Bremen;39-Jährige;4628;4503;9131;657;508;1165;5285;5011;10296
31.12.2000;Bremen;40-Jährige;4358;4454;8812;771;485;1256;5129;4939;10068
31.12.2000;Bremen;41-Jährige;4379;4339;8718;600;532;1132;4979;4871;9850
31.12.2000;Bremen;42-Jährige;4228;4254;8482;562;536;1098;4790;4790;9580
31.12.2000;Bremen;43-Jährige;4222;4307;8529;521;433;954;4743;4740;9483
31.12.2000;Bremen;44-Jährige;4042;4149;8191;528;528;1056;4570;4677;9247
31.12.2000;Bremen;45-Jährige;4035;4075;8110;558;517;1075;4593;4592;9185
31.12.2000;Bremen;46-Jährige;3985;4054;8039;429;456;885;4414;4510;8924
31.12.2000;Bremen;47-Jährige;3888;3860;7748;370;507;877;4258;4367;8625
31.12.2000;Bremen;48-Jährige;3884;3887;7771;421;477;898;4305;4364;8669
31.12.2000;Bremen;49-Jährige;3934;4009;7943;397;406;803;4331;4415;8746
31.12.2000;Bremen;50-Jährige;3936;3975;7911;446;546;992;4382;4521;8903
31.12.2000;Bremen;51-Jährige;4067;4029;8096;468;495;963;4535;4524;9059
31.12.2000;Bremen;52-Jährige;3836;3745;7581;468;457;925;4304;4202;8506
31.12.2000;Bremen;53-Jährige;3540;3701;7241;527;429;956;4067;4130;8197
31.12.2000;Bremen;54-Jährige;3610;3595;7205;495;430;925;4105;4025;8130
31.12.2000;Bremen;55-Jährige;2944;2963;5907;465;382;847;3409;3345;6754
31.12.2000;Bremen;56-Jährige;3863;3823;7686;442;360;802;4305;4183;8488
31.12.2000;Bremen;57-Jährige;4106;3992;8098;423;290;713;4529;4282;8811
31.12.2000;Bremen;58-Jährige;3965;4072;8037;397;337;734;4362;4409;8771
31.12.2000;Bremen;59-Jährige;4523;4634;9157;392;281;673;4915;4915;9830
31.12.2000;Bremen;60-Jährige;4834;4748;9582;407;299;706;5241;5047;10288
31.12.2000;Bremen;61-Jährige;4569;4889;9458;319;219;538;4888;5108;9996
31.12.2000;Bremen;62-Jährige;4350;4726;9076;370;231;601;4720;4957;9677
31.12.2000;Bremen;63-Jährige;4171;4599;8770;278;195;473;4449;4794;9243
31.12.2000;Bremen;64-Jährige;4077;4408;8485;222;200;422;4299;4608;8907
31.12.2000;Bremen;65-Jährige;3648;4285;7933;202;177;379;3850;4462;8312
31.12.2000;Bremen;66-Jährige;3376;3964;7340;184;153;337;3560;4117;7677
31.12.2000;Bremen;67-Jährige;2580;3012;5592;173;164;337;2753;3176;5929
31.12.2000;Bremen;68-Jährige;2402;3310;5712;154;124;278;2556;3434;5990
31.12.2000;Bremen;69-Jährige;2449;3276;5725;148;95;243;2597;3371;5968
31.12.2000;Bremen;70-Jährige;2624;3478;6102;91;114;205;2715;3592;6307
31.12.2000;Bremen;71-Jährige;2559;3431;5990;99;90;189;2658;3521;6179
31.12.2000;Bremen;72-Jährige;2653;3606;6259;88;96;184;2741;3702;6443
31.12.2000;Bremen;73-Jährige;2252;3366;5618;40;106;146;2292;3472;5764
31.12.2000;Bremen;74-Jährige;2076;3494;5570;56;70;126;2132;3564;5696
31.12.2000;Bremen;75-Jährige;1940;3463;5403;50;89;139;1990;3552;5542
31.12.2000;Bremen;76-Jährige;1607;3276;4883;46;67;113;1653;3343;4996
31.12.2000;Bremen;77-Jährige;1567;3339;4906;47;58;105;1614;3397;5011
31.12.2000;Bremen;78-Jährige;1635;3327;4962;50;56;106;1685;3383;5068
31.12.2000;Bremen;79-Jährige;1555;3539;5094;44;68;112;1599;3607;5206
31.12.2000;Bremen;80-Jährige;1428;3390;4818;37;47;84;1465;3437;4902
31.12.2000;Bremen;81-Jährige;1084;2439;3523;21;44;65;1105;2483;3588
31.12.2000;Bremen;82-Jährige;677;1503;2180;17;23;40;694;1526;2220
31.12.2000;Bremen;83-Jährige;591;1369;1960;13;25;38;604;1394;1998
31.12.2000;Bremen;84-Jährige;606;1370;1976;3;27;30;609;1397;2006
31.12.2000;Bremen;85-Jährige;669;1680;2349;10;27;37;679;1707;2386
31.12.2000;Bremen;86-Jährige;683;1976;2659;18;31;49;701;2007;2708
31.12.2000;Bremen;87-Jährige;599;1727;2326;9;33;42;608;1760;2368
31.12.2000;Bremen;88-Jährige;509;1469;1978;5;37;42;514;1506;2020
31.12.2000;Bremen;89-Jährige;424;1230;1654;15;17;32;439;1247;1686
31.12.2000;Bremen;90 Jahre und mehr;1327;3994;5321;75;147;222;1402;4141;5543
31.12.2000;Bremen;Insgesamt;276896;304565;581461;41371;37393;78764;318267;341958;660225
31.12.2001;Bremen;unter 1 Jahr;2608;2471;5079;339;351;690;2947;2822;5769
31.12.2001;Bremen;1-Jährige;2647;2509;5156;378;361;739;3025;2870;5895
31.12.2001;Bremen;2-Jährige;2415;2358;4773;543;530;1073;2958;2888;5846
31.12.2001;Bremen;3-Jährige;2521;2377;4898;545;513;1058;3066;2890;5956
31.12.2001;Bremen;4-Jährige;2616;2395;5011;577;571;1148;3193;2966;6159
31.12.2001;Bremen;5-Jährige;2618;2352;4970;570;511;1081;3188;2863;6051
31.12.2001;Bremen;6-Jährige;2512;2412;4924;514;531;1045;3026;2943;5969
31.12.2001;Bremen;7-Jährige;2506;2372;4878;463;473;936;2969;2845;5814
31.12.2001;Bremen;8-Jährige;2563;2383;4946;512;486;998;3075;2869;5944
31.12.2001;Bremen;9-Jährige;2687;2482;5169;519;501;1020;3206;2983;6189
31.12.2001;Bremen;10-Jährige;2720;2557;5277;547;466;1013;3267;3023;6290
31.12.2001;Bremen;11-Jährige;2777;2596;5373;565;461;1026;3342;3057;6399
31.12.2001;Bremen;12-Jährige;2726;2721;5447;511;453;964;3237;3174;6411
31.12.2001;Bremen;13-Jährige;2787;2601;5388;524;514;1038;3311;3115;6426
31.12.2001;Bremen;14-Jährige;2623;2650;5273;569;529;1098;3192;3179;6371
31.12.2001;Bremen;15-Jährige;2614;2506;5120;591;505;1096;3205;3011;6216
31.12.2001;Bremen;16-Jährige;2597;2401;4998;545;540;1085;3142;2941;6083
31.12.2001;Bremen;17-Jährige;2508;2627;5135;543;493;1036;3051;3120;6171
31.12.2001;Bremen;18-Jährige;2777;2787;5564;587;530;1117;3364;3317;6681
31.12.2001;Bremen;19-Jährige;2863;3072;5935;599;603;1202;3462;3675;7137
